# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 280:         6.585       53.124       0.52  Eelde
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# FHX      = Maximum hourly mean windspeed (in 0.1 m/s); 
# FHN      = Minimum hourly mean windspeed (in 0.1 m/s); 
# 
# STN,YYYYMMDD,  FHX,  FHN
# 
  280,20170101,   70,   30
  280,20170102,   50,   20
  280,20170103,   90,   30
  280,20170104,  100,   30
  280,20170105,   50,    0
  280,20170106,   50,   10
  280,20170107,   70,   20
  280,20170108,   30,   10
  280,20170109,   70,   10
  280,20170110,   70,   20
  280,20170111,  120,   50
  280,20170112,   90,   20
  280,20170113,  120,   20
  280,20170114,  110,   20
  280,20170115,   40,   10
  280,20170116,   30,    0
  280,20170117,   20,   10
  280,20170118,   20,   10
  280,20170119,   10,    0
  280,20170120,   10,    0
  280,20170121,   40,   10
  280,20170122,   20,   10
  280,20170123,   40,   10
  280,20170124,   30,   10
  280,20170125,   40,   10
  280,20170126,   40,   20
  280,20170127,   40,   20
  280,20170128,   40,   20
  280,20170129,   70,   30
  280,20170130,   50,   30
  280,20170131,   40,   10
  280,20170201,   60,   30
  280,20170202,   50,   20
  280,20170203,   40,   20
  280,20170204,   40,   20
  280,20170205,   30,   10
  280,20170206,   50,   20
  280,20170207,   70,   50
  280,20170208,   80,   60
  280,20170209,   60,   50
  280,20170210,   60,   40
  280,20170211,   70,   30
  280,20170212,   80,   50
  280,20170213,   70,   40
  280,20170214,   60,   10
  280,20170215,   30,   10
  280,20170216,   70,   40
  280,20170217,   60,   20
  280,20170218,   50,   10
  280,20170219,   60,   40
  280,20170220,   80,   50
  280,20170221,  100,   30
  280,20170222,  120,   60
  280,20170223,  160,   20
  280,20170224,  100,   20
  280,20170225,  100,   30
  280,20170226,   90,   70
  280,20170227,   90,   50
  280,20170228,  100,   50
  280,20170301,   80,   20
  280,20170302,   70,   30
  280,20170303,   50,   20
  280,20170304,   50,   10
  280,20170305,   80,   20
  280,20170306,   30,   10
  280,20170307,   30,   10
  280,20170308,   80,   20
  280,20170309,   90,   30
  280,20170310,   50,   10
  280,20170311,   40,   20
  280,20170312,   60,   30
  280,20170313,   60,   10
  280,20170314,   70,   30
  280,20170315,   50,   20
  280,20170316,   80,   20
  280,20170317,   90,   40
  280,20170318,  100,   10
  280,20170319,   90,   20
  280,20170320,  140,   40
  280,20170321,   90,   30
  280,20170322,   50,   20
  280,20170323,   70,   20
  280,20170324,   60,   10
  280,20170325,   50,    0
  280,20170326,   50,   10
  280,20170327,   40,   20
  280,20170328,   60,   10
  280,20170329,   70,   20
  280,20170330,   70,   20
  280,20170331,   70,   20
  280,20170401,   40,   10
  280,20170402,   60,   10
  280,20170403,   20,   10
  280,20170404,   30,   10
  280,20170405,   80,   20
  280,20170406,   60,   30
